Counterfeits
169,77,38,92,123,123,107,107,123,138,130,123,138,130,100,53,46,53,46,46,30,15,30,53,61,77,53,53,61,53,38,23,30,53,61,61,53,38,38,46,38,30,23,7,0,30,53,53,46,38,69,77,46,53,61,53,46,38,38,30,30,30,23,30,30,38,61,100,154,207,223,223,231,231,246,246,254,246,254
202,105,82,165,210,195,172,172,180,180,187,180,172,172,112,45,30,37,30,22,22,22,37,45,75,75,60,52,52,52,30,22,30,52,75,67,52,45,37,37,45,22,15,0,0,22,45,52,37,30,52,60,37,45,52,45,45,52,37,37,37,45,22,22,37,37,52,90,172,217,240,255,255,255,255,255,247,232,232
42,76,170,178,136,102,110,127,153,170,195,195,161,76,42,34,59,42,25,25,51,34,51,102,93,76,59,42,42,34,17,34,59,59,34,25,25,34,59,42,34,25,0,0,8,0,25,34,34,68,68,51,68,68,68,59,51,51,59,51,59,42,34,34,34,42,93,161,204,229,255,229,212,238,238,238,238,246,229
177,61,38,123,154,123,92,92,123,154,161,154,146,123,84,38,30,38,38,30,23,30,53,30,61,92,77,77,69,61,46,30,30,38,53,53,46,30,30,46,46,38,30,23,7,0,7,30,23,15,46,61,38,38,61,61,61,61,30,30,69,61,30,30,30,30,53,107,177,231,254,246,246,238,254,254,254,246,238
130,69,169,207,184,138,130,161,169,146,130,130,115,92,46,38,53,38,15,7,0,15,30,38,77,77,69,61,61,46,38,30,46,69,69,38,30,38,38,38,23,15,7,0,7,23,38,38,23,38,69,69,38,46,38,38,38,38,30,30,15,7,7,30,38,38,84,146,192,207,223,223,231,246,254,246,238,238,238
71,79,182,215,182,174,190,207,198,182,174,174,174,143,111,63,86,86,71,39,15,31,47,55,86,79,71,63,63,55,31,31,47,47,47,47,31,39,39,47,39,31,23,15,23,39,71,63,39,39,71,47,15,39,47,39,39,31,23,23,23,15,0,15,15,31,63,119,174,198,223,239,239,246,254,239,239,231,223
119,68,102,170,170,170,161,161,161,127,102,102,102,102,76,59,8,25,34,42,42,8,25,42,51,59,42,51,68,68,42,25,25,42,51,76,51,25,17,8,25,8,8,17,8,17,34,51,59,25,42,68,17,0,25,42,25,8,0,0,0,8,8,8,8,34,68,93,144,170,195,195,195,229,238,238,255,255,255
154,154,254,254,254,254,218,227,245,236,236,200,163,218,209,191,227,218,145,200,227,236,209,163,172,63,81,127,100,109,127,127,127,154,172,145,145,154,172,127,91,91,91,72,100,54,0,127,200,172,182,172,182,200,200,191,191,200,191,218,236,200,236,209,218,209,209,245,227,109,36,63,136,127,163,254,245,145,227
157,133,121,121,108,96,121,133,108,108,145,133,121,96,72,84,48,96,121,60,0,0,12,60,108,145,133,108,60,84,84,48,96,121,121,145,157,145,145,157,145,145,145,145,145,145,133,133,145,181,157,108,157,157,157,157,169,157,157,145,145,169,157,157,169,181,181,205,217,217,205,193,205,205,169,169,217,254,242
178,160,169,113,56,84,84,132,189,178,189,208,160,122,122,122,94,94,74,141,208,178,178,198,198,189,178,150,0,28,84,122,132,132,169,208,198,198,178,150,132,104,94,104,122,160,160,150,160,150,122,65,46,28,65,84,141,178,178,178,198,169,132,122,150,178,189,178,208,217,178,208,245,236,236,217,254,236,245
194,206,236,224,241,212,194,182,194,206,206,230,247,194,118,94,94,70,41,11,0,5,59,112,153,177,194,194,194,182,188,194,212,206,194,188,182,200,218,224,218,230,218,218,236,212,200,194,200,194,212,218,159,171,182,194,188,177,194,212,212,188,182,182,200,218,218,236,253,253,241,236,230,188,188,230,212,194,224
161,177,169,161,177,177,184,184,169,146,115,130,130,138,184,154,100,38,0,7,46,84,115,146,200,231,223,184,177,177,169,130,130,154,184,238,254,223,223,246,238,215,177,138,154,154,207,200,192,184,154,138,100,61,15,30,84,138,154,192,200,184,184,138,130,200,177,138,130,184,154,69,84,115,130,169,200,161,200
217,225,232,240,202,180,180,172,150,97,105,97,112,127,75,75,45,97,30,0,60,112,157,187,210,210,195,202,225,217,202,187,180,180,195,180,67,120,112,135,180,187,195,180,165,180,180,150,112,150,165,165,202,217,240,240,240,255,240,225,232,225,217,195,187,187,195,210,240,247,225,247,247,187,180,217,225,202,187
196,180,188,188,180,188,188,205,205,188,172,155,164,180,172,139,73,16,0,49,131,164,147,188,196,180,172,172,180,180,164,172,155,147,155,139,139,155,147,147,131,123,106,114,139,139,139,139,139,147,147,180,188,180,180,188,172,164,188,180,205,196,180,164,180,180,164,180,180,164,164,180,188,205,229,254,221,205,196
