TrainingSlot,ValidationSlot,Sensor,Min,Max,Std,Avg,
1,4,RI,19251,45986,"4,301.43","25,902.40",
3,27,BI,8474,32754,"3,411.65","25,906.75",
27,1,LI,13600,40745,"5,067.80","25,911.22",
40,27,BI,18355,35401,"3,216.39","25,911.70",
2,40,TI,18634,34957,"3,576.12","25,914.61",
2,25,TV,21949,31416,"1,698.99","25,932.83",
15,38,TV,22124,31566,"1,900.84","25,988.02",
4,40,TV,18600,33505,"2,605.26","26,014.11",
4,27,BI,16359,33723,"3,368.66","26,014.44",
39,2,BV,17812,37835,"3,054.19","26,015.68",
26,16,LI,17621,35452,"3,388.04","26,031.90",
37,4,BV,19113,33652,"2,651.24","26,069.51",
1,13,TV,19043,38516,"3,583.58","26,093.98",
27,1,TI,15055,42857,"5,202.80","26,107.04",
26,39,LI,15159,38413,"5,667.97","26,126.20",
26,14,LI,15944,37786,"4,439.03","26,130.87",
14,26,TV,22194,30472,"1,827.11","26,167.18",
39,1,BV,18741,37652,"3,162.47","26,172.09",
38,13,LV,20876,32489,"2,014.40","26,175.81",
38,26,RI,18732,34756,"2,875.10","26,178.48",
39,27,RV,20071,36035,"2,878.79","26,182.67",
16,25,BV,17842,34781,"2,597.68","26,221.88",
26,1,RI,14337,36347,"4,141.23","26,227.44",
4,37,BI,18551,34079,"3,284.60","26,240.50",
38,3,TI,16320,38057,"4,323.29","26,243.45",
16,38,BI,20855,33221,"2,577.83","26,299.07",
38,14,LI,11983,41747,"6,127.78","26,300.61",
28,39,BI,20104,45919,"2,658.49","26,320.84",
38,26,LI,16149,42908,"5,990.41","26,328.01",
14,38,TV,21694,32624,"2,146.00","26,369.64",
26,37,LI,15102,39723,"5,758.19","26,371.76",
25,2,BV,19366,45635,"3,186.15","26,372.25",
39,37,BI,16191,36127,"3,570.11","26,390.07",
40,13,RI,20953,32941,"2,418.76","26,390.21",
2,14,TV,17757,48012,"3,650.96","26,423.77",
37,40,TV,17077,36149,"3,104.12","26,430.64",
26,4,BI,19384,35356,"3,554.40","26,441.84",
25,4,BV,20089,36391,"3,263.61","26,474.44",
4,38,TV,19709,37849,"3,002.49","26,490.27",
26,2,RV,19344,36668,"3,245.72","26,504.30",
28,4,RI,18160,32271,"2,632.05","26,526.33",
1,37,TV,19753,34825,"2,585.70","26,541.14",
26,13,BV,15309,53470,"6,529.25","26,605.72",
25,28,RI,18697,48833,"4,021.24","26,610.08",
3,37,TV,20133,36386,"2,751.73","26,623.94",
37,39,TV,19246,39405,"3,394.91","26,626.96",
