Detection, Sensor,tach0,tach1,tach2,tach3,tach4,tach5,tach6,tach7,tach8,tach9,tach10,tach11,tach12,tach13,tach14,tach15,tach16,tach17,tach18,tach19,tach20,tach21,tach22,tach23,tach24,tach25,tach26,tach27,tach28,tach29,tach30,tach31,tach32,tach33,tach34,tach35,tach36,tach37,tach38,tach39,tach40,tach41,tach42,tach43,tach44,tach45,tach46,tach47,tach48,tach49,tach50,tach51,tach52,tach53,tach54,tach55,tach56,tach57,tach58,tach59,tach60,tach61,tach62,tach63,tach64,tach65,tach66,tach67,tach68,tach69,tach70,tach71,tach72,tach73,tach74,tach75,tach76,tach77,tach78,tach79,tach80
L,1,254,159,42,53,138,201,169,138,138,159,191,191,159,159,148,116,42,42,53,53,21,10,10,31,21,42,53,42,42,31,21,0,0,21,53,63,53,21,21,21,31,21,21,21,10,0,0,21,31,21,21,53,53,42,31,42,31,31,21,10,0,21,10,0,0,10,21,21,42,106,159,212,233,254,254,254,244,233,233,223,233
L,1,109,63,127,191,182,154,172,182,182,182,182,182,145,100,63,63,81,81,45,36,36,45,45,63,81,72,54,54,45,36,36,45,72,81,63,36,36,36,36,27,18,18,9,0,27,36,54,54,45,63,81,54,36,45,45,36,18,9,27,27,36,36,27,36,45,54,91,136,182,227,236,245,245,245,245,245,254,245,245,254,0
L,1,71,10,40,102,132,132,132,122,142,153,132,122,112,112,91,61,30,40,51,61,40,30,30,51,40,71,51,51,40,40,40,40,40,51,81,91,71,61,51,30,30,20,10,20,0,20,40,51,61,40,40,61,51,10,10,30,30,20,20,30,30,30,20,20,20,20,30,51,91,142,193,224,234,234,234,234,244,244,255,224,224
L,1,156,49,19,107,147,137,117,117,137,166,176,137,137,127,98,49,19,19,19,9,0,19,49,29,39,78,58,49,39,49,39,29,49,68,68,58,29,29,29,49,58,39,29,19,9,19,19,19,19,39,58,58,39,58,68,58,58,39,39,49,58,49,29,19,19,29,29,58,117,186,205,215,215,225,235,235,245,245,245,254,254
L,1,90,105,240,210,150,120,135,180,180,165,135,105,90,60,15,45,45,45,15,0,30,45,60,135,105,90,75,60,45,30,30,60,90,90,60,30,30,45,60,30,15,15,15,0,30,45,15,0,30,75,30,30,45,30,15,15,0,0,15,15,15,0,0,0,0,15,45,120,180,180,195,210,225,240,255,255,240,240,240,240,225
L,1,176,68,9,78,137,137,117,88,117,156,147,147,156,137,88,29,29,39,39,29,9,9,29,39,39,68,58,49,39,39,29,9,9,29,39,39,29,19,19,29,39,29,19,9,0,9,29,49,29,19,29,58,39,29,39,49,39,39,29,29,29,29,19,9,19,29,39,58,107,166,205,225,254,254,254,254,225,215,215,225,225
L,1,116,53,106,169,159,127,138,159,180,169,180,180,159,138,74,74,84,84,74,42,21,42,53,53,74,63,53,42,42,31,10,10,21,31,31,21,21,21,21,21,10,10,10,0,10,31,53,42,31,53,95,74,53,53,53,53,42,31,21,10,10,10,10,21,42,53,95,138,191,212,223,244,244,233,233,244,244,244,254,244,244
L,1,197,115,104,208,208,185,173,162,173,185,173,162,150,162,139,69,34,23,23,23,34,23,23,46,69,92,69,69,69,69,57,46,57,81,92,92,81,57,57,46,34,23,34,34,23,23,46,57,46,23,34,69,57,23,23,46,46,34,34,23,23,34,11,0,11,23,46,57,92,127,150,173,197,220,231,243,243,254,254,254,254
L,1,209,127,81,145,200,191,154,136,136,154,172,182,163,136,136,109,63,54,63,81,72,36,45,63,63,72,72,54,54,54,45,36,36,54,72,72,63,36,18,27,45,54,45,45,36,0,27,54,63,45,27,54,72,63,81,81,72,63,54,54,54,54,54,45,36,45,54,54,72,109,145,182,209,227,227,227,218,218,227,254,254
L,1,115,46,69,127,150,127,92,92,139,173,185,185,173,150,69,46,69,57,46,34,23,46,46,46,69,81,69,57,57,34,23,0,11,46,57,57,34,23,23,69,81,57,69,34,11,23,46,46,34,46,81,92,57,69,69,57,57,69,46,57,81,81,57,34,34,46,57,92,162,208,231,243,254,254,220,185,173,185,208,208,243
